var;side;structure;order;block;name;full_name
Whole_hippocampus_rhx;Right;Hippocampus;0;Complexes;Hippocampus_right_AI;Hippocampus (right)
Whole_hippocampal_head_rhx;Right;Hippocampal head;2;Longitudinal axis;Hippocampal_head_right;Hippocampal head (right)
Whole_hippocampal_body_rhx;Right;Hippocampal body;3;Longitudinal axis;Hippocampal_body_right;Hippocampal body (right)
Hippocampal_tail_rhx;Right;Hippocampal tail;4;Longitudinal axis;Hippocampal_tail_right;Hippocampal tail (right)
parasubiculum_rhx;Right;Parasubiculum;5;Parasubiculum;parasubiculum_right;Parasubiculum (right)
presubiculum_head_rhx;Right;Presubiculum;7;Horizontal axis - head;presubiculum_head_right;Presubiculum (head, right)
presubiculum_body_rhx;Right;Presubiculum;7;Horizontal axis - body;presubiculum_body_right;Presubiculum (body, right)
subiculum_body_rhx;Right;Subiculum;8;Horizontal axis - body;subiculum_body_right;Subiculum (body, right)
subiculum_head_rhx;Right;Subiculum;8;Horizontal axis - head;subiculum_head_right;Subiculum (head, right)
CA1_head_rhx;Right;CA1;9;Horizontal axis - head;CA1_head_right;CA1 (head, right)
CA1_body_rhx;Right;CA1;9;Horizontal axis - body;CA1_body_right;CA1 (body, right)
CA3_head_rhx;Right;CA3;10;Horizontal axis - head;CA3_head_right;CA3 (head, right)
CA3_body_rhx;Right;CA3;10;Horizontal axis - body;CA3_body_right;CA3 (body, right)
molecular_layer_HP_head_rhx;Right;CA4DG;11;Horizontal axis - head;CA4DG_head_right;CA4DG (head, right)
GC_ML_DG_head_rhx;Right;CA4DG;11;Horizontal axis - head;CA4DG_head_right;CA4DG (head, right)
CA4_head_rhx;Right;CA4DG;11;Horizontal axis - head;CA4DG_head_right;CA4DG (head, right)
molecular_layer_HP_body_rhx;Right;CA4DG;11;Horizontal axis - body;CA4DG_body_right;CA4DG (body, right)
GC_ML_DG_body_rhx;Right;CA4DG;11;Horizontal axis - body;CA4DG_body_right;CA4DG (body, right)
CA4_body_rhx;Right;CA4DG;11;Horizontal axis - body;CA4DG_body_right;CA4DG (body, right)
HATA_rhx;Right;HATA;12;Horizontal axis - head;HATA_right;HATA (right)
hippocampal_fissure_rhx;Right;NA;NA;NA;NA;NA
fimbria_rhx;Right;NA;NA;NA;NA;NA
Whole_hippocampus_lhx;Left;Hippocampus;0;Complexes;Hippocampus_left_AI;Hippocampus (left)
Whole_hippocampal_head_lhx;Left;Hippocampal head;2;Longitudinal axis;Hippocampal_head_left;Hippocampal head (left)
Whole_hippocampal_body_lhx;Left;Hippocampal body;3;Longitudinal axis;Hippocampal_body_left;Hippocampal body (left)
Hippocampal_tail_lhx;Left;Hippocampal tail;4;Longitudinal axis;Hippocampal_tail_left;Hippocampal tail (left)
parasubiculum_lhx;Left;Parasubiculum;5;Parasubiculum;parasubiculum_left;Parasubiculum (left)
presubiculum_head_lhx;Left;Presubiculum;7;Horizontal axis - head;presubiculum_head_left;Presubiculum (head, left)
presubiculum_body_lhx;Left;Presubiculum;7;Horizontal axis - body;presubiculum_body_left;Presubiculum (body, left)
subiculum_head_lhx;Left;Subiculum;8;Horizontal axis - head;subiculum_head_left;Subiculum (head, left)
subiculum_body_lhx;Left;Subiculum;8;Horizontal axis - body;subiculum_body_left;Subiculum (body, left)
CA1_head_lhx;Left;CA1;9;Horizontal axis - head;CA1_head_left;CA1 (head, left)
CA1_body_lhx;Left;CA1;9;Horizontal axis - body;CA1_body_left;CA1 (body, left)
CA3_head_lhx;Left;CA3;10;Horizontal axis - head;CA3_head_left;CA3 (head, left)
CA3_body_lhx;Left;CA3;10;Horizontal axis - body;CA3_body_left;CA3 (body, left)
molecular_layer_HP_head_lhx;Left;CA4DG;11;Horizontal axis - head;CA4DG_head_left;CA4DG (head, left)
GC_ML_DG_head_lhx;Left;CA4DG;11;Horizontal axis - head;CA4DG_head_left;CA4DG (head, left)
CA4_head_lhx;Left;CA4DG;11;Horizontal axis - head;CA4DG_head_left;CA4DG (head, left)
molecular_layer_HP_body_lhx;Left;CA4DG;11;Horizontal axis - body;CA4DG_body_left;CA4DG (body, left)
GC_ML_DG_body_lhx;Left;CA4DG;11;Horizontal axis - body;CA4DG_body_left;CA4DG (body, left)
CA4_body_lhx;Left;CA4DG;11;Horizontal axis - body;CA4DG_body_left;CA4DG (body, left)
HATA_lhx;Left;HATA;12;Horizontal axis - head;HATA_left;HATA (left)
hippocampal_fissure_lhx;Left;NA;NA;NA;NA;NA
fimbria_lhx;Left;NA;NA;NA;NA;NA
